DATE,SEC_ID,SEC_NM,OPEN,HIGH,LOW,CLOSE,NUM_SHARES,AMOUNT,NUM_TRANSACTIONS
2017-11-20,300502,新易盛,34.03,36.27,31.96,35.86,77648.0,267049280.0,12312
2017-11-21,300502,新易盛,35.34,38.76,35.12,37.96,100623.0,375045088.0,17809
2017-11-22,300502,新易盛,37.46,38.33,36.26,37.21,68091.0,252805648.0,14531
2017-11-23,300502,新易盛,37.26,38.76,35.89,36.06,70442.0,263472544.0,13763
2017-11-24,300502,新易盛,35.83,37.75,33.24,33.76,80699.0,286756672.0,14525
2017-11-27,300502,新易盛,32.76,33.09,30.36,30.36,69030.0,217218656.0,11932
2017-11-28,300502,新易盛,29.36,31.55,29.36,31.26,43072.0,132951752.0,7413
2017-11-29,300502,新易盛,30.56,31.07,29.26,29.68,49852.0,149549168.0,8397
2017-11-30,300502,新易盛,30.12,30.54,28.68,28.96,39361.0,116789288.0,6715
2017-12-01,300502,新易盛,28.96,30.05,28.96,29.56,38925.0,115609272.0,5810
2017-12-04,300502,新易盛,29.2,30.0,28.46,28.74,38796.0,113702712.0,6320
2017-12-05,300502,新易盛,29.41,29.74,28.27,28.97,37901.0,109845536.0,6070
2017-12-06,300502,新易盛,28.76,30.97,28.76,30.44,45835.0,135599680.0,7695
2017-12-07,300502,新易盛,30.44,31.56,30.01,31.04,56442.0,174691760.0,9142
2017-12-08,300502,新易盛,30.76,32.25,30.36,31.34,54938.0,172850720.0,9243
2017-12-11,300502,新易盛,31.0,32.13,31.0,31.81,42926.0,135949440.0,6264
2017-12-12,300502,新易盛,31.64,31.96,30.58,30.61,29312.0,91519536.0,5226
2017-12-13,300502,新易盛,30.39,31.86,30.34,31.56,35949.0,112861528.0,6303
2017-12-14,300502,新易盛,31.54,32.94,31.36,32.49,46442.0,150081968.0,8300
2017-12-15,300502,新易盛,32.32,32.62,31.17,32.56,30458.0,97665072.0,5607
2017-12-18,300502,新易盛,32.16,32.42,30.81,31.15,29875.0,93980776.0,6393
2017-12-19,300502,新易盛,31.26,31.72,30.86,31.69,31278.0,97733680.0,6021
2017-12-20,300502,新易盛,31.96,32.0,30.19,30.21,34747.0,107948616.0,5740
2017-12-21,300502,新易盛,29.97,31.09,29.14,30.71,38841.0,117771904.0,6495
2017-12-22,300502,新易盛,31.3,31.32,29.64,29.82,34901.0,105969296.0,6023
2017-12-25,300502,新易盛,30.56,30.56,29.18,29.77,34753.0,103574424.0,5866
2017-12-26,300502,新易盛,29.56,30.36,29.46,30.22,32975.0,98823624.0,5488
2017-12-27,300502,新易盛,30.32,30.44,28.83,28.92,38569.0,113221640.0,6955
2017-12-28,300502,新易盛,28.89,29.62,28.32,28.42,32773.0,94581768.0,6699
2017-12-29,300502,新易盛,28.32,29.01,28.09,28.75,30488.0,87154376.0,4860
2018-01-02,300502,新易盛,28.63,28.84,27.88,28.18,42169.0,118585144.0,7656
2018-01-03,300502,新易盛,28.32,29.42,28.2,29.34,72213.0,207897984.0,10736
2018-01-04,300502,新易盛,29.32,29.32,28.42,28.62,66521.0,190776224.0,10568
2018-01-05,300502,新易盛,28.57,28.86,27.97,28.03,39589.0,112137856.0,6187
2018-01-08,300502,新易盛,28.09,28.09,25.21,25.26,99445.0,257111888.0,14262
2018-01-09,300502,新易盛,25.16,25.86,24.89,25.72,43490.0,110948152.0,6432
2018-01-10,300502,新易盛,25.52,25.79,25.31,25.46,33231.0,84877344.0,4347
2018-01-11,300502,新易盛,25.51,26.06,25.36,25.7,29732.0,76759256.0,5325
2018-01-12,300502,新易盛,25.75,25.76,24.36,24.36,50352.0,125773680.0,7759
2018-01-15,300502,新易盛,24.79,24.94,22.86,23.23,59724.0,141496720.0,8555
2018-01-16,300502,新易盛,23.56,23.91,23.24,23.47,37084.0,87469560.0,5917
2018-01-17,300502,新易盛,22.75,23.91,21.76,23.24,58933.0,135347088.0,8559
2018-01-18,300502,新易盛,23.4,24.34,23.4,23.83,52529.0,125791112.0,7640
2018-01-19,300502,新易盛,23.81,24.41,23.26,23.35,39004.0,93162616.0,5968
2018-01-22,300502,新易盛,24.04,24.41,23.51,24.12,43430.0,104506120.0,6323
2018-01-23,300502,新易盛,24.08,24.96,24.07,24.41,43265.0,106213184.0,6641
2018-01-24,300502,新易盛,24.46,25.08,23.86,24.86,47253.0,115984760.0,6583
2018-01-25,300502,新易盛,24.76,25.02,24.1,24.1,38750.0,94969920.0,6504
2018-01-26,300502,新易盛,24.09,24.38,23.57,23.66,20856.0,49759200.0,3810
2018-01-29,300502,新易盛,23.66,23.66,22.66,23.05,30373.0,70138632.0,4623
2018-01-30,300502,新易盛,22.91,23.42,22.91,23.23,18846.0,43741112.0,2951
2018-01-31,300502,新易盛,23.56,23.56,22.45,22.46,20163.0,46203008.0,3245
2018-02-01,300502,新易盛,22.26,22.7,21.26,21.46,24573.0,53669096.0,4301
2018-02-02,300502,新易盛,21.27,21.96,20.81,21.73,18821.0,40621904.0,3618
2018-02-05,300502,新易盛,21.38,22.07,21.16,21.57,21635.0,46871636.0,3836
