行业代码,行业名称,股票代码,股票名称
801730,电气设备,300129,泰胜风能
801730,电气设备,300141,和顺电气
801730,电气设备,300153,科泰电源
801730,电气设备,300185,通裕重工
801730,电气设备,300208,青岛中程
801730,电气设备,300215,电科院
801730,电气设备,300265,通光线缆
801730,电气设备,300274,阳光电源
801730,电气设备,300283,温州宏丰
801730,电气设备,300286,安科瑞
801730,电气设备,300316,晶盛机电
801730,电气设备,300317,珈伟新能
801730,电气设备,300356,光一科技
801730,电气设备,300360,炬华科技
801730,电气设备,300376,易事特
801730,电气设备,300393,中来股份
801730,电气设备,300407,凯发电气
801730,电气设备,300423,鲁亿通
801730,电气设备,300427,红相股份
801730,电气设备,300443,金雷股份
801730,电气设备,300444,双杰电气
801730,电气设备,300447,全信股份
801730,电气设备,300466,赛摩智能
801730,电气设备,300477,合纵科技
801730,电气设备,300484,蓝海华腾
801730,电气设备,300490,华自科技
801730,电气设备,300491,通合科技
801730,电气设备,300510,金冠股份
801730,电气设备,300514,友讯达
801730,电气设备,300569,天能重工
801730,电气设备,300593,新雷能
801730,电气设备,300617,安靠智电
801730,电气设备,300626,华瑞股份
801730,电气设备,300660,江苏雷利
801730,电气设备,300670,大烨智能
801730,电气设备,300693,盛弘股份
801730,电气设备,300713,英可瑞
801730,电气设备,300745,欣锐科技
801730,电气设备,300750,宁德时代
801730,电气设备,300763,锦浪科技
801730,电气设备,300772,运达股份
801730,电气设备,300820,英杰电气
801730,电气设备,300827,上能电气
801730,电气设备,600089,特变电工
801730,电气设备,600112,ST天成
801730,电气设备,600151,航天机电
801730,电气设备,600192,长城电工
801730,电气设备,600202,哈空调
801730,电气设备,600207,安彩高科
801730,电气设备,600241,*ST时万
801730,电气设备,600268,国电南自
801730,电气设备,600290,*ST华仪
801730,电气设备,600312,平高电气
801730,电气设备,600349,富通昭和(I
801730,电气设备,600379,宝光股份
801730,电气设备,600405,动力源
801730,电气设备,600406,国电南瑞
801730,电气设备,600416,*ST湘电
801730,电气设备,600438,通威股份
801730,电气设备,600468,百利电气
801730,电气设备,600475,华光股份
801730,电气设备,600517,国网英大
801730,电气设备,600525,长园集团
801730,电气设备,600537,亿晶光电
801730,电气设备,600550,保变电气
801730,电气设备,600577,精达股份
801730,电气设备,600580,卧龙电驱
801730,电气设备,600590,泰豪科技
801730,电气设备,600847,万里股份
801730,电气设备,600869,智慧能源
801730,电气设备,600875,东方电气
801730,电气设备,600885,宏发股份
801730,电气设备,600973,宝胜股份
801730,电气设备,601012,隆基股份
801730,电气设备,601126,四方股份
801730,电气设备,601179,中国西电
801730,电气设备,601218,吉鑫科技
801730,电气设备,601222,林洋能源
801730,电气设备,601558,退市锐电
801730,电气设备,601567,三星医疗
801730,电气设备,601615,明阳智能
801730,电气设备,601616,广电电气
801730,电气设备,601700,风范股份
801730,电气设备,601727,上海电气
801730,电气设备,601877,正泰电器
801730,电气设备,601908,京运通
801730,电气设备,603015,弘讯科技
801730,电气设备,603016,新宏泰
801730,电气设备,603025,大豪科技
801730,电气设备,603050,科林电气
801730,电气设备,603063,禾望电气
801730,电气设备,603100,川仪股份
801730,电气设备,603105,芯能科技
801730,电气设备,603212,赛伍技术
801730,电气设备,603218,日月股份
801730,电气设备,603320,迪贝电气
801730,电气设备,603333,尚纬股份
801730,电气设备,603396,金辰股份
801730,电气设备,603416,信捷电气
801730,电气设备,603489,八方股份
801730,电气设备,603507,振江股份
801730,电气设备,603530,神马电力
801730,电气设备,603577,汇金通
801730,电气设备,603583,捷昌驱动
801730,电气设备,603606,东方电缆
801730,电气设备,603618,杭电股份
801730,电气设备,603628,清源股份
801730,电气设备,603728,鸣志电器
801730,电气设备,603806,福斯特
801730,电气设备,603819,神力股份
801730,电气设备,603829,洛凯股份
801730,电气设备,603859,能科股份
801730,电气设备,603861,白云电器
801730,电气设备,603897,长城科技
801730,电气设备,603988,中电电机
801730,电气设备,605288,凯迪股份
801730,电气设备,688516,奥特维
801730,电气设备,688599,天合光能
801080,电子,000020,深华发A
801080,电子,000021,深科技
801080,电子,000045,深纺织A
801080,电子,000049,德赛电池
801080,电子,000050,深天马A
801080,电子,000062,深圳华强
801080,电子,000100,TCL科技
801080,电子,000413,东旭光电
801080,电子,000532,华金资本
801080,电子,000536,*ST华映
801080,电子,000541,佛山照明
801080,电子,000636,风华高科
801080,电子,000701,厦门信达
801080,电子,000725,京东方A
801080,电子,000727,*ST东科
801080,电子,000733,振华科技
801080,电子,000823,超声电子
801080,电子,000988,华工科技
801080,电子,000991,通海高科(I
801080,电子,002005,*ST德豪
801080,电子,002008,大族激光
801080,电子,002036,联创电子
801080,电子,002045,国光电器
801080,电子,002049,紫光国微
801080,电子,002055,得润电子
801080,电子,002076,*ST雪莱
801080,电子,002077,*ST大港
801080,电子,002079,苏州固锝
