"OBJECT_ID","WIND_CODE","S_INFO_WINDCODE","CITICS_IND_CODE","ENTRY_DT","REMOVE_DT","CUR_SIGN","OPDATE","OPMODE"
"{71B48E71-98C9-4BED-927E-E42BB144A287}","000708.SZ","000708.SZ","b105020100","20030101","20191201","0","2020-02-10 17:37:54","0"
"{71EE3B6E-5807-44D4-96DF-C9FA9D42F0F6}","600571.SH","600571.SH","b10r020200","20030101",NULL,"1","2014-02-10 15:45:59","0"
"{721D26D6-82BD-4F61-9756-671E91CA14C0}","603518.SH","603518.SH","b10h050200","20150105","20191201","0","2020-01-31 16:41:28","0"
"{722B3AF1-0FE2-4960-B71A-8A104EBA6E2F}","600733.SH","600733.SH","b10n010200","20030101","20190721","0","2019-07-19 08:02:12","0"
"{723086E3-DE67-46B3-87CE-E63CFDAF8FA4}","000988.SZ","000988.SZ","b10r020100","20030101","20050430","0","2014-02-10 15:42:45","0"
"{723C5A53-9E39-40C6-9924-1B0149AA101C}","300487.SZ","300487.SZ","b106020600","20150803","20191201","0","2020-02-10 17:37:54","0"
"{7241E3C7-2A36-400A-99AA-CB96DAD959F0}","300106.SZ","300106.SZ","b10j030300","20100920","20120427","0","2012-05-04 17:18:50","0"
"{724DF280-5DE0-4588-83D0-A1563028DF0B}","600242.SH","600242.SH","b10n010100","20040501","20050630","0","2014-02-10 15:43:16","0"
"{724EB1A9-6EB0-4F23-AABB-14CBB3BB0631}","000587.SZ","000587.SZ","b10e010100","20130502","20140331","0","2014-04-01 14:47:35","0"
"{72586B92-7342-40D0-8F4B-E780F05335D7}","002197.SZ","002197.SZ","b10p020100","20080103","20191201","0","2020-02-10 17:37:54","0"
"{72644AC2-A3D3-414C-A845-2DE46F673C85}","002144.SZ","002144.SZ","b10t010100","20150504","20170511","0","2017-05-11 16:51:14","0"
"{727FBCAE-53A7-452D-B385-501BE4C490B2}","002140.SZ","002140.SZ","b107010100","20070726","20191201","0","2020-02-10 17:37:54","0"
"{72AF7ABE-62A8-4665-BEAC-C31377384CA6}","600209.SH","600209.SH","b10f020100","20051101","20061031","0","2014-02-10 15:42:45","0"
"{72B020BE-A059-4EBA-9FA6-44052DFBF134}","603997.SH","603997.SH","b10d030100","20150401",NULL,"1","2015-04-01 09:18:50","0"
"{72B4DBAA-D1C5-46CF-8E7A-A807CBC32682}","002209.SZ","002209.SZ","b10a020300","20080220",NULL,"1","2014-02-10 15:43:17","0"
"{72CE17E8-0CDF-4582-B182-0A117E1F8D3F}","600620.SH","600620.SH","b10n010100","20030101","20190721","0","2019-07-19 08:02:12","0"
"{72CE76F1-1577-4193-9610-AF6BF187089C}","600055.SH","600055.SH","b10i040200","20030101",NULL,"1","2014-02-10 15:43:16","0"
"{72D1A299-7021-4B61-90A8-8840031E5A5E}","600157.SH","600157.SH","b101020100","20030101","20120928","0","2012-10-10 17:32:32","0"
"{72DABB8C-4162-4293-AE07-186ED3CDDF19}","300446.SZ","300446.SZ","b10p030100","20150504","20191201","0","2020-02-10 17:37:54","0"
"{72DAD9D5-9B87-4D57-99D0-EDC6D227D073}","300520.SZ","300520.SZ","b10r020200","20160701",NULL,"1","2020-01-06 13:39:20","0"
"{72EA980A-08F1-47E7-BA31-197A3699BBBB}","300372.SZ","300372.SZ","b10b020200","20140207",NULL,"1","2014-02-07 13:27:40","0"
"{730035CA-6B02-4F31-8549-96F4E5F21C9B}","000757.SZ","000757.SZ","b10a010100","20110505","20160331","0","2016-04-15 18:06:25","0"
"{731E1D7E-4786-45EA-A073-83F0E8ED138D}","603339.SH","603339.SH","b10a020300","20160601",NULL,"1","2016-06-03 14:41:57","0"
"{7323BB61-BEE7-4666-A10C-12C28258218D}","600598.SH","600598.SH","b10k010300","20030101","20191201","0","2020-02-10 17:37:54","0"
"{733AB41C-7502-4D09-B3F0-A0B3600A493A}","600233.SH","600233.SH","b10h040400","20030101","20160223","0","2016-02-23 18:21:47","0"
"{733B1F2B-2F1B-4454-A2BA-011007FC11C9}","600615.SH","600615.SH","b103020500","20141008",NULL,"1","2014-10-09 16:33:47","0"
"{7341A9A7-0445-4666-9B49-E5746B05E764}","603696.SH","603696.SH","b10j030200","20160104",NULL,"1","2015-12-31 18:08:47","0"
"{734EEB7A-030D-11E7-AC6F-C03FD5E531AD}","000731.SZ","000731.SZ","b101020400","20170301","20180226","0","2018-02-26 13:31:31","0"
"{73A2DF93-7A38-411F-8ECB-CC4F6B19D1C9}","300429.SZ","300429.SZ","b106040700","20150401","20191201","0","2020-02-10 17:37:54","0"
"{73A4C4FE-5682-4EBE-B49A-329CEAA0E0DB}","000008.SZ","000008.SZ","b10o010200","20150302","20150529","0","2015-05-29 13:16:58","0"
"{73AC29C0-CB09-4AC9-B674-84708F862C8B}","000099.SZ","000099.SZ","b10o040100","20030101",NULL,"1","2014-02-10 15:43:16","0"
"{73B01B6F-F6C9-430E-B7DF-ACAEACEF9174}","603012.SH","603012.SH","b10a020100","20150401",NULL,"1","2015-04-01 09:18:50","0"
"{73B2476F-2A27-43CF-9F69-DC50A42CC7B7}","600557.SH","600557.SH","b10i020200","20030101",NULL,"1","2014-02-10 15:45:58","0"
"{73B9480F-0FD6-4DE1-A0B7-7842973DFB51}","600535.SH","600535.SH","b10i010100","20030101","20100908","0","2014-02-10 15:45:59","0"
"{73D2FD11-63EB-4B7B-9C66-FCC88EEF4391}","000407.SZ","000407.SZ","b101020400","20120502","20170228","0","2017-03-07 16:04:23","0"
"{73D8981C-B56B-4F14-B09C-E0911E8E7D78}","300065.SZ","300065.SZ","b10r010200","20100412","20150930","0","2015-10-12 13:07:12","0"
"{73DAA4A3-F75C-4BC6-BB02-28DE3660DD19}","600861.SH","600861.SH","b10e010200","20030101",NULL,"1","2014-02-10 15:45:59","0"
"{73DCCD1B-6120-46E3-B4D9-85110EAF5899}","300252.SZ","300252.SZ","b10q020700","20110901","20140530","0","2014-06-03 11:13:22","0"
"{73E4C37A-6929-4404-B839-55953E61574B}","601155.SH","601155.SH","b10n010100","20160104",NULL,"1","2015-12-31 18:08:47","0"
"{7400ECD2-10AD-43BD-B7BB-A3E34EF50D9C}","000966.SZ","000966.SZ","b104010100","20030101",NULL,"1","2014-02-10 15:43:17","0"
"{741A6A01-32CC-4A8A-B8C5-3A17FB195487}","601199.SH","601199.SH","b104020200","20110317","20150130","0","2015-02-02 09:57:16","0"
"{741EC89F-32A3-4E77-A88E-5A003D1716E6}","600419.SH","600419.SH","b109010100","20091102","20140430","0","2015-02-25 16:46:40","0"
"{742C1794-EE5A-48F8-ADD3-4774F33127B0}","600753.SH","600753.SH","b10g010100","20030101","20060430","0","2014-02-10 15:43:16","0"
"{743CC272-FF2B-4679-9F5C-5C3F93148469}","000829.SZ","000829.SZ","b10q020300","20130502","20190721","0","2019-07-19 08:02:12","0"
"{744ED872-96A6-43B6-856B-EE03DD77C5A9}","000861.SZ","000861.SZ","b10e010100","20120502","20191201","0","2020-02-10 17:37:54","0"
"{746435BB-DD47-4CF7-A15A-0A729516FD10}","300379.SZ","300379.SZ","b10r020100","20140207",NULL,"1","2014-02-07 13:27:40","0"
"{747041C0-6AF3-4667-BCC8-A404C9BADE63}","000656.SZ","000656.SZ","b105010100","20030101","20060430","0","2014-02-10 15:42:45","0"
"{74831A40-E9CE-4016-A257-D710626DC69E}","600272.SH","600272.SH","b10i020200","20130603",NULL,"1","2013-06-03 15:30:55","0"
"{7498813C-2208-4B18-BBF3-4783211EEA89}","002080.SZ","002080.SZ","b108030200","20061204","20191201","0","2020-02-10 17:37:54","0"
